,date,device,text,location
65,2016-09-22 23:47:16,Twitter for Android,What this Yahoo data breach means for you https://t.co/3xQZWM2ZLc,
66,2016-09-22 23:47:14,Twitter for BlackBerry®,"""@DailyMail: Yahoo was told of massive hack at least two months ago https://t.co/EMBvkYkMHw""",
67,2016-09-22 23:47:14,Twitter for iPhone,Here's what you need to know about the Yahoo breach that compromised half a billion users' data: https://t.co/SQ6PpA6wv6,
68,2016-09-22 23:47:14,Twitter for iPhone,What this Yahoo data breach means for you https://t.co/oGEF2bvjJh https://t.co/OJCmqgcSXB,
69,2016-09-22 23:47:10,Google,Yahoo confirms 500 million accounts compromised in huge data breach https://t.co/mqf9n8KfV1,
70,2016-09-22 23:47:09,Twitter for iPhone,Yahoo may be the biggest data breach https://t.co/dVqiiukDsy https://t.co/B5FvVoj1wM,
71,2016-09-22 23:47:07,Twitter for iPhone,Are you a Yahoo user? Here's what to do to keep yourself safe after the revelation of a massive data breach. https://t.co/JFNtGqBplh,
72,2016-09-22 23:47:05,TweetCaster for iOS,Yahoo Confirms Data Breach Affecting At Least 500 Million Users https://t.co/KaBktkcIgA,
73,2016-09-22 23:47:03,Twitter for Android,BREAKING: Yahoo confirms huge data breach affecting 500 million accounts.,
74,2016-09-22 23:46:55,Twitter for Android,BREAKING: Yahoo confirms huge data breach affecting 500 million accounts.,
75,2016-09-22 23:46:52,Twitter for Android,Yahoo may be the biggest data breach https://t.co/dVqiiukDsy https://t.co/B5FvVoj1wM,
76,2016-09-22 23:46:46,Twitter for iPhone,How Yahoo's massive data breach stacks up with the worst of all time https://t.co/B9Cc1f0Mv2,
